"University","City","State","School","BusinessSchool","EngSchool","ScienceSchool","Degree","Analytics","DataScience","YearBegan","DurationMonths","MinDuration","AvgDuration","MaxDuration","CreditHrs","InstateCost","OutofstateCost","AvgCost","StudentAge","StudentGPA","StudentWorkExpMonths","Pctwomen","PctInternational","AvgTOEFL","AppFeeCost.","PlacementRate","AvgStartingSalary","NumDSCources","NumBenefits","NumAppFeatures","NumProgramTypes","NumPostGradStatListed","Rigour"
"University of Massachusetts Amherst","Amherst","Massachusetts","Business",1,0,0,"Business and Analytics",1,0,NA,12,12,12,48,31,25262,47995,36629,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,4,0,2.58333333333333
"Creighton University","Omaha","Nebraska","Business",1,0,0,"Business Intelligence and Analytics",1,0,2014,24,24,24,24,33,38346,38346,38346,NA,NA,NA,NA,NA,NA,50,NA,84500,5,4,6,3,0,1.375
"City University of New York","New York City","New York","Professional Studies",0,0,0,"Data Analytics",1,0,2013,12,12,12,24,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,6,2,0,2.5
"Columbia University","New York City","New York","Professional Studies",0,0,0,"Applied Analytics",1,0,2016,24,30,30,36,36,48432,48432,48432,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,5,4,0,1.5
"Case Western Reserve University","Cleveland","Ohio","Business",1,0,0,"Business Analytics",1,0,2016,11,11,NA,16,33,50096,50096,50096,23,3.5,18,0.56,0.67,NA,NA,NA,NA,6,5,6,1,0,3
"Dakota State University","Madison","South Dakota","Graduate Office",0,0,0,"Analytics",1,0,2014,18,18,NA,60,39,14430,24024,19227,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,3,3,0,2.16666666666667
"College of William & Mary","Williamsburg","Virginia","Business",1,0,0,"Business Analytics",1,0,2015,12,12,12,12,33,40106,46878,43492,24,3.49,NA,0.375,NA,NA,100,NA,NA,9,0,7,2,0,2.75
"California Polytechnic State University – San Luis Obispo","San Luis","California","Business",1,0,0,"Business Analytics",1,0,2016,10,10,10,10,45,31275,31275,31275,NA,NA,NA,NA,NA,NA,NA,0.88,79842,NA,5,6,1,NA,4.5
"Northwestern University","Chicago","Illinois","Engineering",0,1,0,"Analytics",1,0,2012,15,15,15,15,36,93720,93720,93720,NA,NA,24,0.48,NA,95,NA,NA,NA,7,5,7,1,1,2.4
"University of Maryland, College Park","College Park","Maryland","Business",1,0,0,"Business Analytics",1,0,2015,16,16,16,16,30,47460,60450,53955,23,3.4,12,0.52,NA,NA,75,0.87,86000,10,6,6,2,2,1.875
"Temple University","Philadelphia","Pennsylvania","Business",1,0,0,"Business Analytics",1,0,2014,24,12,24,60,30,33420,33420,33420,NA,NA,NA,NA,NA,NA,60,0.86,88000,3,6,3,2,0,1.25
"University of Texas at San Antonio","San Antonio","Texas","College of Business",1,0,0,"Data Analytics",1,0,2016,12,12,12,21,30,17000,46500,31750,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4,2,0,2.5
"University of Utah","Salt Lake City","Utah","Business",1,0,0,"Business Analytics",1,0,2016,12,12,16,24,33,34550,59200,46875,NA,NA,NA,NA,NA,NA,55,NA,NA,4,6,5,2,1,2.75
"Western Governors University","Salt Lake City","Utah","College of Information Technology",0,0,0,"Data Analytics",1,0,2016,18,18,18,36,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,5,2,1,4,0,1.83333333333333
"University of San Francisco","San Francisco","California","Arts and Science",0,0,1,"Data Science",0,1,2012,12,12,12,12,35,50050,50050,50050,24,3.63,24,0.45,0.6,NA,NA,0.95,120000,10,2,6,1,2,2.91666666666667
"University of California, Davis","Davis","California","School of Management",1,0,0,"Business Analytics",1,0,2015,10,10,10,10,44,58916,58916,58916,24,3.5,24,0.66,NA,NA,125,NA,NA,5,6,NA,1,0,4.4
"Fairfield University","Fairfield","Connecticut","Business",1,0,0,"Business Analytics",1,0,2015,12,12,12,24,30,37800,37800,37800,27,3.8,NA,0.35,NA,NA,60,0.95,NA,5,5,6,3,0,2.5
"Michigan State University","East Lansing","Michigan","Business",1,0,0,"Business Analytics",1,0,2013,12,12,12,12,30,36000,39000,37500,26,3.45,NA,NA,NA,NA,NA,1,85200,8,6,6,1,0,2.5
"Washington University in St. Louis","St. Louis","Missouri","Business",1,0,0,"Business Analytics",1,0,2013,18,18,18,18,39,87685,87685,87685,23,3.5,NA,0.58,0.98,NA,NA,0.97,80000,9,5,4,2,0,2.16666666666667
"College of Saint Elizabeth","Morristown","New Jersey","School of Arts and Sciences",0,0,1,"Data Analytics",1,0,1899,12,12,12,12,36,31620,31620,31620,24,2.6,NA,0.89,0.85,79,35,NA,68153,7,6,6,2,0,3
"College of Saint Rose","Albany","New York","School of Business",1,0,0,"Business Analytics",1,0,1920,24,24,24,24,33,32835,32835,32835,24,3.3,NA,0.7,0.73,NA,0,NA,87000,7,6,4,1,0,1.375
"Duke University","Durham","North Carolina","School of Business",1,0,0,"Quantitative Management",1,0,1920,10,10,10,10,36,69800,69800,69800,23,4.03,6,0.56,0.22,NA,125,NA,80000,10,6,6,2,0,3.6
"Villanova University","Radnor Township","Pennsylvania","Business",1,0,0,"Analytics",1,0,2014,24,24,24,24,36,49500,49500,37000,NA,NA,NA,NA,NA,NA,65,0.981,62879,5,6,7,1,2,1.5
"University of Texas at Austin","Austin","Texas","Business",1,0,0,"Business Analytics",1,0,2013,10,10,10,10,36,43000,48000,45500,24,3.66,12,0.43,0.52,NA,NA,0.98,86175,4,6,7,1,2,3.6
"Arizona State University","Phoenix","Arizona","Business",1,0,0,"Business Analytics",1,0,2013,9,9,9,9,30,33608,53288,43448,26,3.42,32,0.46,0.85,99,70,0.769,77601,2,3,4,2,1,3.33333333333333
"University of California, San Diego","San Diego","California","Business",1,0,0,"Business Analytics",1,0,2016,12,12,12,12,50,58000,58000,58000,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,6,6,2,2,4.16666666666667
"Golden Gate University","San Fransico","California","School Of Science",0,0,1,"Business Analytics",1,0,2016,24,20,18,24,36,39240,39240,39240,24,2.8,0,0.3,NA,NA,NA,NA,NA,7,4,NA,4,0,1.5
"University of Chicago","Chicago","Illinois","Liberal and Professional studies",0,0,0,"Analytics",1,0,2014,18,18,18,18,36,55680,55680,55680,NA,NA,NA,NA,NA,NA,75,NA,NA,7,NA,8,2,2,2
